player_id,firstName,lastName,birthDate,primaryPosition,shootsCatches,season,gamesPlayed,goals,assists,points,pointsPerGame,plusMinus,shots,shootingPercentage,penaltyMinutes,timeOnIce,avgTimeOnIce,faceOffWins,faceOffLosses,faceOffTaken,faceOffPercentage,hits,blocks,takeaways,giveaways,turnoverDifferential,powerPlayGoals,powerPlayAssists,powerPlayPoints,powerPlayTimeOnIce,avgPowerPlayTimeOnIce,shortHandedGoals,shortHandedAssists,shortHandedPoints,shortHandedTimeOnIce,avgShortHandedTimeOnIce,salary
8459004,Craig,Rivet,1974-09-13,D,R,2010-11,37,2,2,4,0.11,-12,33,6.06,35,32581.0,14:40,0,0,0,0.0,31,36,5,18,-13,0,0,0,2134.0,0:57,0,0,0,2784.0,1:15,3500000
8459424,Chris,Pronger,1974-10-10,D,L,2010-11,50,4,21,25,0.5,7,112,3.57,44,67495.0,22:29,0,0,0,0.0,41,114,19,26,-7,3,11,14,11110.0,3:42,0,1,1,9257.0,3:5,4935714
8459427,Rob,Niedermayer,1974-12-28,C,L,2010-11,71,5,14,19,0.27,-8,80,6.25,22,54353.0,12:45,129,147,276,46.74,37,21,14,23,-9,0,0,0,548.0,0:7,0,0,0,3408.0,0:48,1150000
8459429,Jason,Arnott,1974-10-11,C,R,2010-11,73,17,14,31,0.42,-6,169,10.06,40,67990.0,15:31,449,445,894,50.22,42,11,30,21,9,4,4,8,9308.0,2:7,0,0,0,461.0,0:6,4500000
8459444,Todd,Bertuzzi,1975-02-02,RW,L,2010-11,81,16,29,45,0.56,-7,138,11.59,71,77551.0,15:57,18,22,40,45.0,110,21,30,46,-16,2,5,7,7719.0,1:35,0,0,0,51.0,0:0,1937500
8459457,Jamie,Langenbrunner,1975-07-24,RW,R,2010-11,70,9,23,32,0.46,-18,153,5.88,45,73253.0,17:26,11,17,28,39.29,96,25,28,36,-8,1,6,7,10194.0,2:25,0,0,0,6476.0,1:32,2800000
8459462,Bryan,McCabe,1975-06-08,D,L,2010-11,67,7,21,28,0.42,2,122,5.74,34,78660.0,19:34,0,0,0,0.0,86,72,8,31,-23,4,9,13,14558.0,3:37,0,0,0,3849.0,0:57,5750000
8459514,Jamal,Mayers,1974-10-24,RW,R,2010-11,78,3,11,14,0.18,3,62,4.84,124,41566.0,8:52,53,45,98,54.08,105,19,24,18,6,0,0,0,107.0,0:1,0,0,0,5174.0,1:6,600000
8459628,Hal,Gill,1975-04-06,D,L,2010-11,75,2,7,9,0.12,-9,62,3.23,43,89189.0,19:49,0,0,0,0.0,75,151,21,62,-41,0,0,0,284.0,0:3,0,1,1,17034.0,3:47,2250000
8459670,Kimmo,Timonen,1975-03-18,D,L,2010-11,82,6,31,37,0.45,11,147,4.08,36,110576.0,22:28,0,1,1,0.0,96,175,43,39,4,1,15,16,16370.0,3:19,2,0,2,16886.0,3:25,6333333
8460492,Ed,Jovanovski,1976-06-26,D,L,2010-11,50,5,9,14,0.28,4,73,6.85,39,61435.0,20:28,0,0,0,0.0,87,91,9,37,-28,1,1,2,3613.0,1:12,0,1,1,8418.0,2:48,6500000
8460496,Ryan,Smyth,1976-02-21,LW,L,2010-11,82,23,24,47,0.57,-1,195,11.79,35,88749.0,18:2,57,75,132,43.18,25,18,33,46,-13,9,5,14,14515.0,2:57,0,0,0,1581.0,0:19,6250000
8460502,Wade,Belak,1976-07-03,RW,R,2010-11,15,0,0,0,0.0,-1,4,0.0,18,3399.0,3:46,0,0,0,0.0,20,2,0,5,-5,0,0,0,0.0,0:0,0,0,0,0.0,0:0,575000
8460503,Mattias,Ohlund,1976-09-09,D,L,2010-11,72,0,5,5,0.07,-7,39,0.0,70,80890.0,18:43,0,0,0,0.0,135,136,17,34,-17,0,1,1,857.0,0:11,0,0,0,12061.0,2:47,3607142
8460533,Dave,Scatchard,1976-02-20,C,R,2010-11,8,0,1,1,0.12,1,6,0.0,6,2283.0,4:45,12,14,26,46.15,7,0,0,1,-1,0,0,0,9.0,0:1,0,0,0,1.0,0:0,550000
8460542,Patrik,Elias,1976-04-13,C,L,2010-11,81,21,41,62,0.77,-4,204,10.29,16,90583.0,18:38,224,274,498,44.98,62,25,45,55,-10,7,13,20,13375.0,2:45,1,0,1,10301.0,2:7,6000000
8460556,Freddy,Modin,1974-10-08,LW,L,2010-11,40,7,3,10,0.25,-14,54,12.96,14,27848.0,11:36,8,12,20,40.0,19,22,14,11,3,0,0,0,1095.0,0:27,1,0,1,2417.0,1:0,800000
8460562,Chris,Drury,1976-08-20,C,R,2010-11,24,1,4,5,0.21,2,26,3.85,8,17303.0,12:0,127,98,225,56.44,19,12,9,3,6,0,0,0,874.0,0:36,0,0,0,2431.0,1:41,7050000
8460580,Brad,Lukowich,1976-08-12,D,L,2010-11,5,0,0,0,0.0,2,3,0.0,0,3079.0,10:15,0,0,0,0.0,5,6,1,0,1,0,0,0,4.0,0:0,0,0,0,0.0,0:0,1000000
8460621,Daniel,Alfredsson,1972-12-11,RW,R,2010-11,54,14,17,31,0.57,-19,96,14.58,18,62454.0,19:16,2,10,12,16.67,41,21,45,46,-1,7,5,12,10288.0,3:10,0,0,0,6234.0,1:55,4875000
8460661,Shane,Hnidy,1975-11-08,D,R,2010-11,3,0,0,0,0.0,-2,3,0.0,2,2660.0,14:46,0,0,0,0.0,2,1,0,1,-1,0,0,0,0.0,0:0,0,0,0,62.0,0:20,500000
8460719,Steve,Sullivan,1974-07-06,LW,R,2010-11,44,10,12,22,0.5,4,79,12.66,28,42324.0,16:1,5,8,13,38.46,18,10,16,24,-8,3,4,7,7173.0,2:43,0,0,0,1587.0,0:36,3750000
8460720,Eric,Boulton,1976-08-17,LW,L,2010-11,69,6,4,10,0.14,1,51,11.76,87,37087.0,8:57,0,3,3,0.0,93,20,11,14,-3,0,0,0,338.0,0:4,0,0,0,57.0,0:0,650000
8462038,Shane,Doan,1976-10-10,RW,R,2010-11,72,20,40,60,0.83,5,221,9.05,67,83336.0,19:17,73,86,159,45.91,172,28,41,36,5,11,10,21,16268.0,3:45,0,0,0,2251.0,0:31,4550000
8462042,Jarome,Iginla,1977-07-01,RW,R,2010-11,82,43,43,86,1.05,0,289,14.88,40,103004.0,20:56,227,193,420,54.05,103,28,40,70,-30,14,16,30,19771.0,4:1,0,0,0,435.0,0:5,7000000
8462093,Peter,Schaefer,1977-07-12,LW,L,2010-11,16,1,1,2,0.12,-3,10,10.0,2,9289.0,9:40,13,20,33,39.39,18,7,8,1,7,0,0,0,45.0,0:2,0,0,0,1739.0,1:48,600000
8462118,Marc,Savard,1977-07-17,C,L,2010-11,25,2,8,10,0.4,-7,50,4.0,29,23705.0,15:48,167,161,328,50.91,5,4,3,18,-15,0,4,4,4468.0,2:58,0,0,0,131.0,0:5,4021428
8462129,Michal,Handzus,1977-03-11,C,L,2010-11,82,12,18,30,0.37,-5,94,12.77,20,85340.0,17:20,678,634,1312,51.68,86,48,24,39,-15,4,6,10,13321.0,2:42,0,1,1,11873.0,2:24,4000000
8462176,Brent,Sopel,1977-01-07,D,R,2010-11,71,2,5,7,0.1,6,44,4.55,16,69624.0,16:20,0,0,0,0.0,36,152,25,39,-14,0,1,1,941.0,0:13,0,0,0,13902.0,3:15,2333333
8462196,Stephane,Robidas,1977-03-03,D,R,2010-11,81,5,25,30,0.37,-7,106,4.72,67,119229.0,24:31,0,0,0,0.0,216,135,28,35,-7,1,14,15,13797.0,2:50,0,2,2,15966.0,3:17,3300000
8462225,Filip,Kuba,1976-12-29,D,L,2010-11,64,2,14,16,0.25,-26,76,2.63,16,79602.0,20:43,0,0,0,0.0,23,104,22,41,-19,0,7,7,8157.0,2:7,0,1,1,9584.0,2:29,3700000
8462535,Jody,Shelley,1976-02-07,LW,L,2010-11,58,2,2,4,0.07,0,31,6.45,127,21511.0,6:10,2,2,4,50.0,96,15,5,10,-5,0,0,0,183.0,0:3,0,0,0,4.0,0:0,1100000
8464956,Chris,Phillips,1978-03-09,D,L,2010-11,82,1,8,9,0.11,-35,81,1.23,32,105889.0,21:31,0,0,0,0.0,116,152,26,54,-28,0,1,1,891.0,0:10,0,0,0,17426.0,3:32,3500000
8464962,Ruslan,Salei,1974-11-02,D,L,2010-11,75,2,8,10,0.13,0,75,2.67,48,80847.0,17:57,0,0,0,0.0,117,109,19,35,-16,0,0,0,330.0,0:4,0,0,0,9772.0,2:10,750000
8464966,Derek,Morris,1978-08-24,D,R,2010-11,77,5,11,16,0.21,-2,83,6.02,58,97290.0,21:3,2,1,3,66.67,117,136,14,31,-17,1,0,1,3676.0,0:47,0,1,1,11671.0,2:31,2750000
8464967,Marty,Reasoner,1977-02-26,C,L,2010-11,82,14,18,32,0.39,2,124,11.29,22,84435.0,17:9,700,584,1284,54.52,71,57,52,17,35,0,1,1,2705.0,0:32,0,0,0,13598.0,2:45,1150000
8464975,Daniel,Briere,1977-10-06,C,R,2010-11,77,34,34,68,0.88,20,246,13.82,87,84593.0,18:18,395,425,820,48.17,36,17,33,16,17,6,9,15,14164.0,3:3,0,0,0,336.0,0:4,6500000
8464977,Dainius,Zubrus,1978-06-16,C,L,2010-11,79,13,17,30,0.38,-11,115,11.3,53,81299.0,17:9,253,196,449,56.35,107,32,33,30,3,1,2,3,11390.0,2:24,0,1,1,3073.0,0:38,3400000
8464989,Matt,Cullen,1976-11-02,C,L,2010-11,78,12,27,39,0.5,-14,150,8.0,34,84368.0,18:1,473,370,843,56.11,39,36,43,34,9,5,16,21,14610.0,3:7,4,0,4,9409.0,2:0,3500000
8464994,Steve,Begin,1978-06-14,LW,L,2010-11,2,0,0,0,0.0,-2,2,0.0,4,1177.0,9:48,0,0,0,0.0,5,0,1,0,1,0,0,0,0.0,0:0,0,0,0,0.0,0:0,550000
8465005,Colin,White,1977-12-12,D,L,2010-11,69,0,6,6,0.09,-2,50,0.0,48,78060.0,18:51,0,0,0,0.0,109,100,21,38,-17,0,0,0,200.0,0:2,0,1,1,11517.0,2:46,3000000
8465009,Zdeno,Chara,1977-03-18,D,L,2010-11,81,14,30,44,0.54,33,264,5.3,88,123613.0,25:26,0,0,0,0.0,153,111,32,62,-30,8,7,15,15265.0,3:8,1,1,2,13672.0,2:48,7500000
8465042,Toni,Lydman,1977-09-25,D,L,2010-11,78,3,22,25,0.32,32,99,3.03,42,103760.0,22:10,0,0,0,0.0,141,178,11,38,-27,0,2,2,2819.0,0:36,0,0,0,17447.0,3:43,3000000
8465050,Eric,Belanger,1977-12-16,C,L,2010-11,82,13,27,40,0.49,11,127,10.24,36,85324.0,17:20,717,580,1297,55.28,71,45,45,29,16,1,4,5,7419.0,1:30,1,0,1,8841.0,1:47,750000
8465058,Michal,Rozsival,1978-09-03,D,R,2010-11,65,6,15,21,0.32,6,55,10.91,42,81909.0,21:0,0,0,0,0.0,100,108,24,24,0,2,6,8,7819.0,2:0,0,0,0,7395.0,1:53,5000000
8465059,Matt,Bradley,1978-06-13,RW,R,2010-11,61,4,7,11,0.18,-3,58,6.9,68,38378.0,10:29,4,7,11,36.36,161,15,12,5,7,0,0,0,309.0,0:5,0,0,0,204.0,0:3,1000000
8465166,Craig,Adams,1977-04-26,RW,R,2010-11,80,4,11,15,0.19,-5,90,4.44,76,58496.0,12:11,194,271,465,41.72,171,64,24,15,9,0,0,0,124.0,0:1,2,2,4,14831.0,3:5,550000
8465185,Willie,Mitchell,1977-04-23,D,L,2010-11,57,5,5,10,0.18,4,59,8.47,21,74607.0,21:48,0,0,0,0.0,35,85,12,47,-35,0,0,0,365.0,0:6,1,0,1,11636.0,3:24,3500000
8465192,Samuel,Pahlsson,1977-12-17,C,L,2010-11,82,7,13,20,0.24,-13,108,6.48,30,75463.0,15:20,675,623,1298,52.0,162,49,28,8,20,0,0,0,371.0,0:4,1,0,1,13989.0,2:50,2650000
8465200,Tomas,Kaberle,1978-03-02,D,L,2010-11,82,4,43,47,0.57,4,130,3.08,18,108786.0,22:6,0,0,0,0.0,37,140,29,70,-41,0,25,25,19986.0,4:3,0,0,0,1433.0,0:17,4250000
8465202,Sami,Salo,1974-09-02,D,R,2010-11,27,3,4,7,0.26,-3,39,7.69,14,32955.0,20:20,0,0,0,0.0,6,28,3,18,-15,1,2,3,3078.0,1:54,0,0,0,4617.0,2:51,3500000
8465210,Pavel,Kubina,1977-04-15,D,R,2010-11,79,4,19,23,0.29,2,78,5.13,62,91129.0,19:13,0,0,0,0.0,90,115,19,35,-16,1,4,5,11213.0,2:21,0,0,0,4595.0,0:58,3850000
8465914,Francis,Bouillon,1975-10-17,D,L,2010-11,44,1,9,10,0.23,-3,47,2.13,27,53411.0,20:13,0,0,0,0.0,133,51,13,24,-11,0,2,2,3363.0,1:16,0,0,0,3695.0,1:23,1350000
8465951,Matt,Cooke,1978-09-07,LW,L,2010-11,67,12,18,30,0.45,14,95,12.63,129,62855.0,15:38,8,21,29,27.59,192,39,23,19,4,0,0,0,3218.0,0:48,3,3,6,11057.0,2:45,1800000
8465978,Shawn,Thornton,1977-07-23,LW,R,2010-11,79,10,10,20,0.25,8,151,6.62,122,47783.0,10:4,17,14,31,54.84,141,18,23,6,17,0,0,0,645.0,0:8,0,0,0,113.0,0:1,812500
8466138,Joe,Thornton,1979-07-02,C,L,2010-11,80,21,49,70,0.88,4,149,14.09,47,95377.0,19:52,675,565,1240,54.44,56,35,114,98,16,9,24,33,16259.0,3:23,2,0,2,5712.0,1:11,7200000
8466139,Patrick,Marleau,1979-09-15,C,L,2010-11,82,37,36,73,0.89,-3,279,13.26,16,102286.0,20:47,288,261,549,52.46,86,31,35,66,-31,11,15,26,16429.0,3:20,2,1,3,9791.0,1:59,6900000
8466140,Olli,Jokinen,1978-12-05,C,L,2010-11,79,17,37,54,0.68,-17,208,8.17,44,84263.0,17:46,552,613,1165,47.38,56,35,54,45,9,5,14,19,14803.0,3:7,0,0,0,792.0,0:10,3000000
8466142,Eric,Brewer,1979-04-17,D,L,2010-11,76,9,7,16,0.21,6,110,8.18,81,100524.0,22:2,0,0,0,0.0,145,120,23,40,-17,0,0,0,2731.0,0:35,0,0,0,14283.0,3:7,4250000
8466144,Paul,Mara,1979-09-07,D,L,2010-11,53,1,5,6,0.11,1,50,2.0,88,58130.0,18:16,0,0,0,0.0,88,85,4,12,-8,0,0,0,2826.0,0:53,0,0,0,7530.0,2:22,750000
8466145,Nick,Boynton,1979-01-14,D,R,2010-11,51,1,7,8,0.16,-1,43,2.33,40,44819.0,14:38,0,0,0,0.0,61,87,15,25,-10,0,0,0,446.0,0:8,0,0,0,2920.0,0:57,500000
8466148,Marian,Hossa,1979-01-12,RW,L,2010-11,65,25,32,57,0.88,9,205,12.2,32,76856.0,19:42,3,1,4,75.0,48,23,53,32,21,8,11,19,10531.0,2:42,2,1,3,6843.0,1:45,5275000
8466149,Daniel,Cleary,1978-12-18,RW,L,2010-11,68,26,20,46,0.68,-1,192,13.54,20,67875.0,16:38,35,56,91,38.46,112,25,18,16,2,5,3,8,6282.0,1:32,0,0,0,4805.0,1:10,2800000
8466158,Scott,Hannan,1979-01-23,D,L,2010-11,78,1,10,11,0.14,4,56,1.79,34,92601.0,19:47,0,0,0,0.0,84,122,19,41,-22,0,0,0,555.0,0:7,0,1,1,12499.0,2:40,4500000
8466160,Brenden,Morrow,1979-01-16,LW,L,2010-11,82,33,23,56,0.68,-3,209,15.79,76,94639.0,19:14,1,10,11,9.09,225,43,41,60,-19,9,4,13,18486.0,3:45,1,0,1,3665.0,0:44,4100000
8466215,Joe,Corvo,1977-06-20,D,R,2010-11,82,11,29,40,0.49,-14,191,5.76,18,121910.0,24:46,0,1,1,0.0,55,119,60,64,-4,5,18,23,19805.0,4:1,1,0,1,13286.0,2:42,2250000
8466251,Jason,Chimera,1979-05-02,LW,L,2010-11,81,10,16,26,0.32,-10,162,6.17,64,64422.0,13:15,20,19,39,51.28,98,16,26,27,-1,2,1,3,2929.0,0:36,0,0,0,4176.0,0:51,1875000
8466285,Brian,Campbell,1979-05-23,D,L,2010-11,65,5,22,27,0.42,28,84,5.95,6,89632.0,22:58,0,0,0,0.0,28,101,21,42,-21,2,4,6,7940.0,2:2,0,0,0,6774.0,1:44,7142875
8466333,Andrew,Ference,1979-03-17,D,L,2010-11,70,3,12,15,0.21,22,78,3.85,60,75513.0,17:58,0,0,0,0.0,74,82,4,28,-24,0,1,1,1483.0,0:21,0,1,1,7714.0,1:50,2250000
8466371,John,Madden,1973-05-04,C,L,2010-11,76,12,13,25,0.33,-9,107,11.21,10,69947.0,15:20,504,484,988,51.01,43,59,44,21,23,1,1,2,1476.0,0:19,1,0,1,11233.0,2:27,1000000
8466378,Martin,St. Louis,1975-06-18,RW,L,2010-11,82,31,68,99,1.21,0,254,12.2,12,103221.0,20:58,50,81,131,38.17,37,64,55,71,-16,4,37,41,22223.0,4:31,0,0,0,2282.0,0:27,5250000
8466393,Pascal,Dupuis,1979-04-07,RW,L,2010-11,81,17,20,37,0.46,16,171,9.94,59,81939.0,16:51,6,22,28,21.43,117,55,33,14,19,0,0,0,2141.0,0:26,4,1,5,11719.0,2:24,1400000
8466398,Tom,Kostopoulos,1979-01-24,RW,R,2010-11,76,8,10,18,0.24,-4,79,10.13,74,56268.0,12:20,18,49,67,26.87,122,41,28,18,10,2,1,3,1130.0,0:14,0,0,0,7858.0,1:43,916667
8467096,Dan,Boyle,1976-07-12,D,R,2010-11,76,9,41,50,0.66,2,199,4.52,67,119641.0,26:14,0,2,2,0.0,55,139,34,51,-17,4,23,27,19560.0,4:17,0,0,0,10298.0,2:15,6666666
8467304,Andy,Sutton,1975-03-10,D,L,2010-11,39,0,4,4,0.1,1,31,0.0,87,34523.0,14:45,0,0,0,0.0,62,87,5,14,-9,0,1,1,199.0,0:5,0,2,2,5610.0,2:23,2062500
8467329,Vincent,Lecavalier,1980-04-21,C,L,2010-11,65,25,29,54,0.83,-5,210,11.9,43,71971.0,18:27,591,570,1161,50.9,93,25,35,26,9,12,16,28,15556.0,3:59,0,0,0,903.0,0:13,7727272
8467330,David,Legwand,1980-08-17,C,L,2010-11,64,17,24,41,0.64,13,130,13.08,24,72220.0,18:48,395,442,837,47.19,36,20,55,44,11,0,4,4,6160.0,1:36,2,0,2,7791.0,2:1,4500000
8467331,Brad,Stuart,1979-11-06,D,L,2010-11,67,3,17,20,0.3,4,81,3.7,40,86548.0,21:31,0,0,0,0.0,131,114,13,52,-39,1,1,2,2304.0,0:34,0,1,1,14256.0,3:32,3750000
8467332,Bryan,Allen,1980-08-21,D,L,2010-11,72,4,13,17,0.24,-1,58,6.9,82,79152.0,18:19,0,0,0,0.0,118,103,24,27,-3,0,0,0,456.0,0:6,0,0,0,9673.0,2:14,2900000
8467334,Manny,Malhotra,1980-05-18,C,L,2010-11,72,11,19,30,0.42,9,111,9.91,22,69839.0,16:9,778,483,1261,61.7,57,74,40,18,22,3,3,6,3239.0,0:44,1,1,2,11934.0,2:45,2500000
8467336,Mike,Rupp,1980-01-13,LW,L,2010-11,81,9,8,17,0.21,-4,81,11.11,124,48869.0,10:3,82,80,162,50.62,181,17,9,12,-3,0,1,1,3846.0,0:47,0,0,0,1059.0,0:13,825000
8467338,Alex,Tanguay,1979-11-21,LW,L,2010-11,79,22,47,69,0.87,0,120,18.33,24,93674.0,19:45,42,65,107,39.25,31,38,49,57,-8,3,17,20,17335.0,3:39,0,0,0,6054.0,1:16,1700000
8467344,Robyn,Regehr,1980-04-19,D,L,2010-11,79,2,15,17,0.22,2,72,2.78,58,101835.0,21:29,0,0,0,0.0,180,142,12,41,-29,1,1,2,1145.0,0:14,0,1,1,15226.0,3:12,4020000
8467346,Simon,Gagne,1980-02-29,LW,L,2010-11,63,17,23,40,0.63,-12,154,11.04,20,63839.0,16:53,6,10,16,37.5,49,20,23,21,2,7,8,15,11761.0,3:6,0,0,0,826.0,0:13,5250000
8467351,Scott,Gomez,1979-12-23,C,L,2010-11,80,7,31,38,0.48,-15,157,4.46,48,89105.0,18:33,575,622,1197,48.04,32,24,56,28,28,3,14,17,13003.0,2:42,0,1,1,4599.0,0:57,7357143
8467365,John,Erskine,1980-06-26,D,L,2010-11,73,4,7,11,0.15,1,58,6.9,94,64950.0,14:49,0,0,0,0.0,166,120,11,37,-26,0,0,0,232.0,0:3,0,0,0,5742.0,1:18,1250000
8467370,Mike,Fisher,1980-06-05,C,R,2010-11,82,19,17,36,0.44,-17,192,9.9,43,90370.0,18:22,602,644,1246,48.31,135,89,36,43,-7,4,10,14,11770.0,2:23,0,0,0,6707.0,1:21,4200000
8467371,Mike,Ribeiro,1980-02-10,C,L,2010-11,82,19,52,71,0.87,-4,161,11.8,28,98196.0,19:57,565,648,1213,46.58,95,33,72,71,1,7,16,23,18963.0,3:51,0,0,0,4311.0,0:52,5000000
8467389,Brad,Richards,1980-05-02,C,L,2010-11,72,28,49,77,1.07,1,272,10.29,24,93850.0,21:43,501,489,990,50.61,20,22,47,73,-26,7,22,29,23058.0,5:20,0,0,0,1478.0,0:20,7800000
8467393,Jarkko,Ruutu,1975-08-23,LW,L,2010-11,73,3,9,12,0.16,-2,66,4.55,97,49807.0,11:22,8,12,20,40.0,131,29,17,23,-6,0,0,0,245.0,0:3,0,1,1,8113.0,1:51,1300000
8467396,Erik,Cole,1978-11-06,LW,L,2010-11,82,26,26,52,0.63,-1,201,12.94,49,90813.0,18:27,7,27,34,20.59,225,34,65,36,29,3,5,8,13296.0,2:42,1,1,2,6767.0,1:22,2900000
8467400,Francois,Beauchemin,1980-06-04,D,L,2010-11,81,5,12,17,0.21,-8,106,4.72,32,112134.0,23:4,0,1,1,0.0,122,182,34,90,-56,1,2,3,8071.0,1:39,0,0,0,13670.0,2:48,3800000
8467407,Brian,Gionta,1979-01-18,RW,R,2010-11,82,29,17,46,0.56,3,298,9.73,24,96525.0,19:37,19,40,59,32.2,87,31,45,27,18,7,4,11,14254.0,2:53,2,0,2,9517.0,1:56,5000000
8467408,Matt,Walker,1980-04-07,D,R,2010-11,4,0,0,0,0.0,0,3,0.0,4,2792.0,11:38,0,0,0,0.0,5,5,0,1,-1,0,0,0,0.0,0:0,0,0,0,23.0,0:5,1700000
8467412,Alexei,Ponikarovsky,1980-04-09,LW,L,2010-11,61,5,10,15,0.25,1,94,5.32,36,46114.0,12:35,1,4,5,20.0,139,28,12,27,-15,1,2,3,3399.0,0:55,0,0,0,3553.0,0:58,3200000
8467423,Shawn,Horcoff,1978-09-17,C,L,2010-11,47,9,18,27,0.57,-1,78,11.54,46,52693.0,18:41,393,420,813,48.34,32,20,29,24,5,5,5,10,7683.0,2:43,0,1,1,4402.0,1:33,5500000
8467428,Krys,Barch,1980-03-26,RW,L,2010-11,44,2,1,3,0.07,-7,16,12.5,80,13792.0,5:13,2,2,4,50.0,53,2,3,12,-9,0,0,0,296.0,0:6,0,0,0,11.0,0:0,837500
8467439,Jaroslav,Spacek,1974-02-11,D,L,2010-11,59,1,15,16,0.27,9,65,1.54,45,68121.0,19:14,0,0,0,0.0,61,90,30,55,-25,0,3,3,4740.0,1:20,0,1,1,8048.0,2:16,3833333
8467452,Rob,Scuderi,1978-12-30,D,L,2010-11,82,2,13,15,0.18,1,46,4.35,16,99826.0,20:17,0,0,0,0.0,64,122,22,59,-37,0,0,0,323.0,0:3,0,0,0,13636.0,2:46,3400000
8467463,Mikael,Samuelsson,1976-12-23,RW,R,2010-11,75,18,32,50,0.67,8,215,8.37,36,74844.0,16:37,9,19,28,32.14,76,21,25,36,-11,5,14,19,11187.0,2:29,0,0,0,152.0,0:2,2500000
8467466,Trent,Hunter,1980-07-05,RW,R,2010-11,17,1,3,4,0.24,-3,30,3.33,23,12914.0,12:39,0,2,2,0.0,36,5,3,2,1,0,0,0,1252.0,1:13,0,0,0,123.0,0:7,2000000
8467478,Kent,Huskins,1979-05-04,D,L,2010-11,50,2,8,10,0.2,8,38,5.26,12,49847.0,16:36,0,0,0,0.0,18,58,10,21,-11,0,0,0,294.0,0:5,0,0,0,4350.0,1:27,1700000
8467493,Chris,Neil,1979-06-18,RW,R,2010-11,80,6,10,16,0.2,-14,105,5.71,210,61260.0,12:45,3,3,6,50.0,258,21,35,20,15,0,0,0,2383.0,0:29,0,0,0,1.0,0:0,2000000
